1918,2,Max Karl Ernst Ludwig Planck,23,4,1858,Schleswig,M
1919,1,Carl Friedrich Georg Spitteler,24,4,1845,Switzerland,M
1919,5,Jules Bordet,13,6,1870,Belgium,M
1919,4,Thomas Woodrow Wilson,28,12,1856,USA,M
1919,2,Johannes Stark,15,4,1874,Germany,M
1920,3,Walther Hermann Nernst,25,6,1864,Prussia,M
1920,1,Knut Pedersen Hamsun,4,8,1895,Norway,M
1920,5,Schack August Steenberg Krogh,15,10,1874,Denmark,M
1920,4,Léon Victor Auguste Bourgeois,21,5,1851,France,M
1920,2,Charles Edouard Guillaume,15,2,1861,Switzerland,M
1921,3,Frederick Soddy,2,9,1877,United Kingdom,M
1921,1,Anatole France,16,4,1844,France,M
1921,4,Christian Lous Lange,17,9,1869,Norway,M
1921,4,Karl Hjalmar Branting,23,10,1860,Sweden,M
1921,2,Albert Einstein,14,3,1879,Germany,M
1922,3,Francis William Aston,1,9,1877,United Kingdom,M
1922,1,Jacinto Benavente,12,8,1866,Spain,M
1922,5,Archibald Vivian Hill,26,9,1886,United Kingdom,M
1922,5,Otto Fritz Meyerhof,12,4,1884,Germany,M
1922,4,Fridtjof Nansen,10,11,1861,Norway,M
1922,2,Niels Henrik David Bohr,7,11,1885,Denmark,M
1923,3,Fritz Pregl,3,9,1869,Austria-Hungary,M
1923,1,William Butler Yeats,13,6,1865,Ireland,M
1923,5,Frederick Grant Banting,14,10,1891,Canada,M
1923,5,John James Rickard Macleod,6,9,1876,Scotland,M
1923,2,Robert Andrews Millikan,22,3,1868,USA,M
1924,1,Wladyslaw Stanislaw Reymont,7,5,1867,Russian Empire,M
1924,5,Willem Einthoven,21,5,1860,Dutch East Indies,M
1924,2,Karl Manne Georg Siegbahn,3,12,1886,Sweden,M
1925,3,Richard Adolf Zsigmondy,1,4,1865,Austrian Empire,M
1925,1,George Bernard Shaw,26,7,1856,Ireland,M
1925,4,Charles Gates Dawes,27,8,1865,USA,M
1925,4,Sir Austen Chamberlain,16,11,1863,United Kingdom,M
1925,2,Gustav Ludwig Hertz,22,7,1887,Germany,M
1925,2,James Franck,26,8,1882,Germany,M
1926,3,The Svedberg,30,8,1884,Sweden,M
1926,1,Grazia Deledda,27,9,1871,Italy,F
1926,5,Johannes Andreas Grib Fibiger,23,4,1867,Denmark,M
1926,4,Aristide Briand,28,3,1862,France,M
1926,4,Gustav Stresemann,10,5,1878,Germany,M
1926,2,Jean Baptiste Perrin,30,9,1870,France,M
1927,3,Heinrich Otto Wieland,4,6,1877,Germany,M
1927,1,Henri Bergson,18,11,1859,France,M
1927,5,Julius Wagner-Jauregg,7,3,1857,Austria,M
1927,4,Ferdinand Buisson,20,12,1841,France,M
1927,4,Ludwig Quidde,23,3,1858,Germany,M
1927,2,Arthur Holly Compton,10,9,1892,USA,M
1927,2,Charles Thomson Rees Wilson,14,2,1869,Scotland,M
1928,3,Adolf Otto Reinhold Windaus,25,12,1876,Germany,M
1928,1,Sigrid Undset,20,5,1882,Denmark,F
1928,5,Charles Jules Henri Nicolle,21,9,1866,France,M
1928,2,Owen Willans Richardson,26,4,1879,United Kingdom,M
1929,3,Arthur Harden,12,11,1865,United Kingdom,M
1929,3,Hans Karl August Simon von Euler-Chelpin,15,2,1873,Germany,M
1929,1,Thomas Mann,6,6,1875,Germany,M
1929,5,Christiaan Eijkman,11,8,1858,the Netherlands,M
1929,5,Sir Frederick Gowland Hopkins,20,6,1861,United Kingdom,M
1929,4,Frank Billings Kellogg,22,12,1856,USA,M
1929,2,Prince Louis-Victor Pierre Raymond de Broglie,15,8,1892,France,M
1930,3,Hans Fischer,27,7,1881,Germany,M
1930,1,Sinclair Lewis,7,2,1885,USA,M
1930,5,Karl Landsteiner,14,6,1868,Austrian Empire,M
1930,4,Lars Olof Jonathan Söderblom,15,1,1866,Sweden,M
1930,2,Sir Chandrasekhara Venkata Raman,7,10,1888,India,M
1931,3,Carl Bosch,27,8,1874,Germany,M
1931,3,Friedrich Bergius,11,11,1884,Germany,M
1931,1,Erik Axel Karlfeldt,20,7,1864,Sweden,M
1931,5,Otto Heinrich Warburg,8,11,1883,Germany,M
1931,4,Jane Addams,6,9,1860,USA,F
1931,4,Nicholas Murray Butler,2,4,1862,USA,M
1932,3,Irving Langmuir,31,1,1881,USA,M
1932,1,John Galsworthy,14,8,1867,United Kingdom,M
1932,5,Edgar Douglas Adrian,30,10,1889,United Kingdom,M
1932,5,Sir Charles Scott Sherrington,27,10,1857,United Kingdom,M
1932,2,Werner Karl Heisenberg,5,12,1901,Germany,M
1933,1,Ivan Alekseyevich Bunin,22,11,1870,Russia,M
1933,5,Thomas Hunt Morgan,25,9,1866,USA,M
1933,4,Sir Norman Angell ,26,12,1873,United Kingdom,M
1933,2,Erwin Schrödinger,12,8,1887,Austria,M
1933,2,Paul Adrien Maurice Dirac,8,8,1902,United Kingdom,M
1934,3,Harold Clayton Urey,29,4,1893,USA,M
1934,1,Luigi Pirandello,28,6,1867,Italy,M
1934,5,George Hoyt Whipple,28,8,1878,USA,M
1934,5,George Richards Minot,2,12,1885,USA,M
1934,5,William Parry Murphy,6,2,1892,USA,M
1934,4,Arthur Henderson,13,9,1863,Scotland,M
1935,3,Frédéric Joliot,19,3,1900,France,M
1935,3,Irène Joliot-Curie,12,9,1897,France,F
1935,5,Hans Spemann,27,6,1869,Württemberg,M
1935,4,Carl von Ossietzky,3,11,1889,Germany,M
1935,2,James Chadwick,20,11,1891,United Kingdom,M
1936,3,Petrus Josephus Wilhelmus Debye,24,3,1884,the Netherlands,M
1936,1,Eugene Gladstone O'Neill,16,11,1888,USA,M
1936,5,Otto Loewi,3,6,1873,Germany,M
1936,5,Sir Henry Hallett Dale,9,6,1875,United Kingdom,M
1936,4,Carlos Saavedra Lamas,1,10,1878,Argentina,M
1936,2,Carl David Anderson,3,9,1905,USA,M
1936,2,Victor Franz Hess,24,6,1883,Switzerland,M
1937,3,Paul Karrer,21,4,1889,Russia,M
1937,3,Walter Norman Haworth,19,3,1883,United Kingdom,M
1937,1,Roger Martin du Gard,23,3,1881,France,M
1937,5,Albert von Szent-Györgyi Nagyrápolt,16,9,1893,Austria-Hungary,M
1937,4,Edgar Algernon Robert Gascoyne-Cecil,14,09,1864,United Kingdom,M
1937,2,Clinton Joseph Davisson,22,11,1881,USA,M
1937,2,George Paget Thomson,3,5,1892,United Kingdom,M
1938,3,Richard Kuhn,3,12,1900,Austria-Hungary,M
1938,1,Pearl Buck,26,6,1892,USA,F
1938,5,Corneille Jean François Heymans,28,3,1892,Belgium,M
1938,4,Office international Nansen pour les Réfugiés ,0,0,1921,Switzerland,O
1938,2,Enrico Fermi,29,9,1901,Italy,M
1939,3,Adolf Friedrich Johann Butenandt,24,3,1903,Germany,M
1939,3,Leopold Ruzicka,13,9,1887,Austria-Hungary,M
1939,1,Frans Eemil Sillanpää,16,9,1888,Russian Empire,M
1939,5,Gerhard Domagk,30,11,1895,Germany,M
1939,2,Ernest Orlando Lawrence,8,8,1901,USA,M
1943,3,George de Hevesy,1,8,1885,Austria-Hungary,M
1943,5,Edward Adelbert Doisy,13,10,1893,USA,M
1943,5,Henrik Carl Peter Dam,21,2,1895,Denmark,M
1943,2,Otto Stern,17,2,1888,Germany,M
1944,3,Otto Hahn,8,3,1879,Germany,M
1944,1,Johannes Vilhelm Jensen,20,1,1873,Denmark,M
1944,5,Herbert Spencer Gasser,5,7,1888,USA,M
1944,5,Joseph Erlanger,5,1,1874,USA,M
1944,4,Comité international de la Croix Rouge ,0,0,1863,Switzerland,O
1944,2,Isidor Isaac Rabi,29,7,1898,Austria-Hungary,M
1945,3,Artturi Ilmari Virtanen,15,1,1895,Russian Empire,M
1945,1,Gabriela Mistral,7,4,1889,Chile,F
1945,5,Ernst Boris Chain,19,6,1906,Germany,M
1945,5,Sir Alexander Fleming,6,8,1881,Scotland,M
1945,5,Sir Howard Walter Florey,24,9,1898,Australia,M
1945,4,Cordell Hull,2,11,1871,USA,M
1945,2,Wolfgang Pauli,25,4,1900,Austria,M
1946,3,James Batcheller Sumner,19,10,1887,USA,M
1946,3,John Howard Northrop,5,7,1891,USA,M
1946,3,Wendell Meredith Stanley,16,8,1904,USA,M
1946,1,Hermann Hesse,2,7,1877,Germany,M
1946,5,Hermann Joseph Muller,21,12,1890,USA,M
